순위,도서ID,도서명,저자,출판사,출간일,판매가(원),정가(원),할인율(%),평점,리뷰수,판매지수,상세페이지링크,내용
182,91165789,비전공자를 위한 이해할 수 있는 IT 지식,최원영 저,티더블유아이지,2020년 07월,"15,120","16,800",10.0,8.8,138,"5,316",https://www.yes24.com/product/goods/91165789,
183,37335066,라프 코스터의 재미이론 10주년 개정판,"라프 코스터 저/유창석, 전유택 역",길벗,2017년 03월,"19,800","22,000",10.0,8.2,17,"4,113",https://www.yes24.com/product/goods/37335066,
184,35094862,Do it! C 언어 입문,김성엽 저,이지스퍼블리싱,2017년 01월,"22,500","25,000",10.0,9.4,75,"1,938",https://www.yes24.com/product/goods/35094862,
185,190272428,라즈베리파이 5로 배우는 AI 인공지능 자율주행 자동차 만들기 + 데이터 수집 · 학습 + 딥러닝,장문철 저,앤써북,2026년 06월,"21,960","24,400",10.0,10.0,1,600,https://www.yes24.com/product/goods/190272428,
186,193583379,초간단 캡컷 AI 영상 편집,이용태 저,책바세,2026년 08월,"19,800","22,000",10.0,,0,240,https://www.yes24.com/product/goods/193583379,
187,193058538,심플 디자인,박영록 저,위키북스,2026년 07월,"16,200","18,000",10.0,,0,366,https://www.yes24.com/product/goods/193058538,
188,192326062,한눈에 보는 대한민국 코스피,MrTrigger 저,한빛미디어,2026년 06월,"23,400","26,000",10.0,10.0,54,"1,038",https://www.yes24.com/product/goods/192326062,
189,192285191,혼자 완성하는 Java 풀코스,심상원 저,아이콕스(iCox),2026년 07월,"30,600","34,000",10.0,,0,342,https://www.yes24.com/product/goods/192285191,
190,192155530,다름을 연결하는 교실 설계자가 되기 위한 필수 실천서! AI 에듀테크로 다문화 수업 쉽게 설계하기!,"유영미, 유예찬, 이근경, 이효진, 정홍교 저 외 10명 정보 더 보기/감추기 유영미 유예찬 이근경 이효진 정홍교 박천용 김승환 송지영 김민주 양은숙 손지후 강동호 김가람 오지현 오가람",광문각출판미디어,2026년 06월,"20,000","20,000",,10.0,32,"3,000",https://www.yes24.com/product/goods/192155530,
191,192026072,셀프프롬프트,전행진 저,퍼블리터,2026년 06월,"16,650","18,500",10.0,,0,"1,317",https://www.yes24.com/product/goods/192026072,
192,190216116,"캔바로 만든 디자인, 돈이 됩니다",리몬(안형선) 저,길벗,2026년 06월,"19,800","22,000",10.0,10.0,44,"3,012",https://www.yes24.com/product/goods/190216116,
193,189854100,AI가 다 하고 내가 돈 버는 앱 만들기,서희찬 저,길벗,2026년 05월,"25,200","28,000",10.0,9.2,5,"1,812",https://www.yes24.com/product/goods/189854100,
194,189749546,AI 게임 개발 시작,김정태 저,홍릉,2026년 05월,"25,000","25,000",,10.0,4,948,https://www.yes24.com/product/goods/189749546,
195,189628201,AI 바이브 코딩 마스터,"정의석, 정윤식 저",영진닷컴,2026년 05월,"32,400","36,000",10.0,10.0,23,624,https://www.yes24.com/product/goods/189628201,
196,189037004,클로드 디자인 시작하기,조남경 저,비엘북스,2026년 05월,"22,500","25,000",10.0,,0,"3,408",https://www.yes24.com/product/goods/189037004,
197,188108093,맛있는 디자인 포토샵 CC 2026,윤이사라 저,한빛미디어,2026년 04월,"23,400","26,000",10.0,9.9,41,"2,583",https://www.yes24.com/product/goods/188108093,
198,188012932,된다! 하루 만에 준비하는 캔바 AI 수업 활용법 with 2022 개정 교육과정,"정인걸, 김경수 저",이지스퍼블리싱,2026년 05월,"21,600","24,000",10.0,10.0,8,"1,233",https://www.yes24.com/product/goods/188012932,
199,187519430,에이전트 시대의 AI 시스템 설계,"발리아파 락슈마난, 하네스 막스 하프케 저/류광 역",한빛미디어,2026년 04월,"37,800","42,000",10.0,9.7,12,"2,349",https://www.yes24.com/product/goods/187519430,
200,187222189,하이러닝으로 끝내는 AI 디지털 수업 50제,"유지현, 조윤호, 고윤경, 진연자, 곽지현 저 외 7명 정보 더 보기/감추기 유지현 조윤호 고윤경 진연자 곽지현 최혜진 최정은 조희정 조연영 이성찬 허윤영 정승연",한빛미디어,2026년 04월,"21,600","24,000",10.0,10.0,101,"2,679",https://www.yes24.com/product/goods/187222189,
201,186939301,바이브 코딩 with 구글 안티그래비티,노성환 저,영진닷컴,2026년 04월,"16,200","18,000",10.0,9.8,34,960,https://www.yes24.com/product/goods/186939301,
202,186663875,그림으로 배우는 생성형 AI,"프리양카 베르가디아, 발리아파 락슈마난 저/류광 역",한빛미디어,2026년 04월,"29,700","33,000",10.0,9.6,9,"1,470",https://www.yes24.com/product/goods/186663875,
203,182628538,새나곰의 똥손도 바로 시작하는 인스타툰 그리기 with 클립 스튜디오,새나곰(정은아) 저,한빛미디어,2026년 03월,"20,700","23,000",10.0,10.0,18,"1,914",https://www.yes24.com/product/goods/182628538,
204,180209658,캔바 AI,"신승희, 앤미디어 저",생능북스,2026년 03월,"21,600","24,000",10.0,9.9,61,"3,387",https://www.yes24.com/product/goods/180209658,
205,179710994,엑셀 대신 챗GPT,오종현 저,한빛미디어,2026년 03월,"19,800","22,000",10.0,9.8,19,"1,146",https://www.yes24.com/product/goods/179710994,
206,174658020,요즘 바이브 코딩 안티그래비티 완벽 가이드,최지호 저,골든래빗,2026년 02월,"25,200","28,000",10.0,9.8,28,"17,922",https://www.yes24.com/product/goods/174658020,
207,173657299,초등학생을 위한 AI 미래 지식 74,김영현 글/최정을 그림,길벗스쿨,2026년 01월,"15,300","17,000",10.0,9.9,29,"2,289",https://www.yes24.com/product/goods/173657299,
208,168840773,수노로 시작하는 AI 작곡,"강성우, 한나래 저",제이펍,2025년 12월,"18,000","20,000",10.0,8.8,23,"4,542",https://www.yes24.com/product/goods/168840773,
209,168561327,"어쨌든, 바이브 코딩",코다프레스 저/양희은 역,인사이트(insight),2025년 12월,"19,800","22,000",10.0,9.9,45,"3,846",https://www.yes24.com/product/goods/168561327,
210,167431026,소프트웨어 아키텍처 The Basics,"마크 리처즈, 닐 포드 저/류광, 307번역랩 역",한빛미디어,2025년 11월,"38,700","43,000",10.0,9.9,15,"2,028",https://www.yes24.com/product/goods/167431026,
211,167428992,요즘 바이브 코딩 깃허브 코파일럿 31가지 프로그램 만들기,박현규 저,골든래빗,2025년 12월,"21,600","24,000",10.0,10.0,4,"2,817",https://www.yes24.com/product/goods/167428992,
212,167144757,연필과 종이로 풀어보는 AI 딥러닝 수학 워크북 214제,톰 예 저,아티오,2025년 12월,"17,100","19,000",10.0,6.0,1,"1,512",https://www.yes24.com/product/goods/167144757,
213,166665802,그림으로 이해하는 도커와 쿠버네티스,토쿠나가 코헤이 저/서수환 역,길벗,2025년 11월,"19,800","22,000",10.0,10.0,17,"3,282",https://www.yes24.com/product/goods/166665802,
214,163495217,학교 업무가 쉬워지는 구글 스프레드시트 실전 가이드북,"김동호, 민동수, 박준택, 오보람, 윤수진 저 외 1명 정보 더 보기/감추기 김동호 민동수 박준택 오보람 윤수진 나혜진",씨마스21,2026년 01월,"19,800","22,000",10.0,10.0,33,"7,176",https://www.yes24.com/product/goods/163495217,
215,160217631,써니쌤과 함께 처음 시작하는 SNS 디자인 캔바,써니쌤 강성은 저,시원북스,2025년 10월,"17,820","19,800",10.0,10.0,273,"9,282",https://www.yes24.com/product/goods/160217631,
216,153913285,"챗GPT는 거들 뿐, 생기부는 내가 쓴다","장승아, 조원정 저",위키북스,2025년 09월,"14,400","16,000",10.0,,0,"2,556",https://www.yes24.com/product/goods/153913285,
217,152399336,기술·가정 교사가 만든 기술·가정 교사를 위한 찐 실전 챗GPT (생성형 AI (에듀테크) 기술·가정 수업 활용하기!),"봉우리, 이호준, 윤지원, 김보정 저",광문각출판미디어,2025년 08월,"17,000","17,000",,10.0,11,"2,877",https://www.yes24.com/product/goods/152399336,
218,148082413,나는 CODAP으로 데이터 분석한다,"최정원, 류현욱, 박근영, 박예람, 유동호 저 외 6명 정보 더 보기/감추기 최정원 류현욱 박근영 박예람 유동호 유하연 이완범 이원경 이지현 최희진 허영주",씨마스,2025년 06월,"22,500","25,000",10.0,10.0,53,"4,332",https://www.yes24.com/product/goods/148082413,
219,147561155,회사에서 바로 통하는 실무 엑셀,한은숙 저,한빛미디어,2025년 06월,"20,700","23,000",10.0,9.8,34,"4,428",https://www.yes24.com/product/goods/147561155,
220,147103661,처음이야? 파이썬 기초,"윤영빈, 오환, 이용희 저",영진닷컴,2025년 06월,"18,000","20,000",10.0,10.0,9,"2,448",https://www.yes24.com/product/goods/147103661,
221,147034290,2022 개정과 IB 교육 철학을 적용한 초등 개념기반 탐구수업•서술형평가 설계와 실천,진경오 저,앤써북,2025년 05월,"18,900","21,000",10.0,9.8,12,"3,306",https://www.yes24.com/product/goods/147034290,
222,145383562,현직 교사가 만든 업무자동화를 원하는 교사를 위한 찐 실전 챗GPT GPTs·미조우·제미나이 - 챗봇 만들기 생성형 AI 챗봇으로 수업 업무 박살 내기!,"김요섭, 허영주, 조래정, 정재우 저",광문각출판미디어,2025년 04월,"15,000","15,000",,9.9,35,"2,772",https://www.yes24.com/product/goods/145383562,
223,145015291,M365 코파일럿 무작정 따라하기,"김시연, 서지영 저",길벗,2025년 04월,"19,800","22,000",10.0,9.4,7,"3,354",https://www.yes24.com/product/goods/145015291,
224,144073133,공여사들의 엑셀 혁명 with 챗GPT,공여사들 저,한빛미디어,2025년 03월,"18,900","21,000",10.0,9.8,42,"3,180",https://www.yes24.com/product/goods/144073133,
225,143786416,교사를 위한 패들렛 Padlet,안익재 저,앤써북,2025년 03월,"15,120","16,800",10.0,10.0,47,"11,442",https://www.yes24.com/product/goods/143786416,
226,141746357,도덕적인 AI,"월터 시넛 암스트롱, 재나 셰익 보그, 빈센트 코니처 저/박초월 역",김영사,2025년 01월,"19,800","22,000",10.0,9.8,13,"4,794",https://www.yes24.com/product/goods/141746357,
227,135818136,머신비전 비밀노트,㈜앤비젼 저,바른북스,2024년 10월,"21,600","24,000",10.0,,0,"1,296",https://www.yes24.com/product/goods/135818136,
228,132412221,NEW 우당탕탕 한글 2020/2022로 문서만들기,교재개발팀 저,마린북스,2024년 08월,"12,600","14,000",10.0,10.0,1,"2,616",https://www.yes24.com/product/goods/132412221,
229,130156635,AI를 위한 필수 수학,할라 넬슨 저/안민재 역,한빛미디어,2024년 08월,"40,500","45,000",10.0,9.5,12,"2,514",https://www.yes24.com/product/goods/130156635,
230,130156178,"2022 개정 교육과정 평가, AI로 날개를 달다 (개념기반 교육과정)","지미정, 오한나, 노명호, 권의선, 김영수 저 외 4명 정보 더 보기/감추기 지미정 오한나 노명호 권의선 김영수 이진원 장희영 소민영 조보현",앤써북,2024년 09월,"18,900","21,000",10.0,9.9,19,"10,221",https://www.yes24.com/product/goods/130156178,
231,130093155,Do it! 5일 만에 끝내는 깃&깃허브 입문,"고경희, 이고잉 저",이지스퍼블리싱,2024년 08월,"16,200","18,000",10.0,9.9,27,"1,962",https://www.yes24.com/product/goods/130093155,
232,129081594,LLM을 활용한 실전 AI 애플리케이션 개발,허정준 저/정진호 그림/박재호 감수,책만,2024년 07월,"28,800","32,000",10.0,9.3,31,"4,038",https://www.yes24.com/product/goods/129081594,
233,126037720,마인크래프트 몹 완벽 가이드,Mojang Studio 저/이주안 역,영진닷컴,2024년 04월,"16,200","18,000",10.0,9.6,24,"4,485",https://www.yes24.com/product/goods/126037720,
234,125692722,된다! 김메주의 유튜브 채널&영상 만들기,김혜주 저,이지스퍼블리싱,2024년 04월,"17,100","19,000",10.0,9.7,33,"7,716",https://www.yes24.com/product/goods/125692722,
235,125101417,마인크래프트 미니게임 만들기,우마공 운영진 저,영진닷컴,2024년 02월,"15,120","16,800",10.0,9.9,32,"2,478",https://www.yes24.com/product/goods/125101417,
236,122598455,된다! 7일 실무 한글,한정희 저,이지스퍼블리싱,2023년 10월,"16,200","18,000",10.0,9.8,46,"4,506",https://www.yes24.com/product/goods/122598455,
237,120241473,그림으로 이해하는 네트워크 구조와 기술,나카오 신지 저/김성훈 역,길벗,2023년 07월,"19,800","22,000",10.0,9.6,17,"2,250",https://www.yes24.com/product/goods/120241473,
238,119409915,프로덕트 매니지먼트,김영욱 저,한빛미디어,2023년 06월,"20,700","23,000",10.0,9.8,52,900,https://www.yes24.com/product/goods/119409915,
239,116431437,포켓몬스터 레츠고! 피카츄ㆍ레츠고! 이브이 속성클리어모험가이드,편집부 저,학산문화사(단행본),2022년 11월,"10,800","12,000",10.0,10.0,3,510,https://www.yes24.com/product/goods/116431437,
240,107077663,실용주의 프로그래머,"데이비드 토머스, 앤드류 헌트 저/정지용 역/김창준 감수",인사이트(insight),2022년 02월,"29,700","33,000",10.0,9.2,12,"2,430",https://www.yes24.com/product/goods/107077663,
241,103415627,Real MySQL 8.0 (1권),"백은빈, 이성욱 저",위키북스,2021년 09월,"27,000","30,000",10.0,9.9,15,"3,132",https://www.yes24.com/product/goods/103415627,
242,67350256,함께 자라기,김창준 저,인사이트(insight),2018년 11월,"11,700","13,000",10.0,9.3,61,"2,538",https://www.yes24.com/product/goods/67350256,
243,66531799,모두의 파이썬,이승찬 저,길벗,2018년 10월,"10,800","12,000",10.0,9.7,50,"2,688",https://www.yes24.com/product/goods/66531799,
244,61254539,친절한 SQL 튜닝,조시형 저,디비안(DBian),2018년 06월,"34,200","38,000",10.0,9.6,31,"5,793",https://www.yes24.com/product/goods/61254539,
245,59580711,도널드 노먼의 디자인 심리학,도널드 노먼 저/범어디자인연구소 역,유엑스리뷰,2018년 04월,"31,500","35,000",10.0,9.7,16,"1,320",https://www.yes24.com/product/goods/59580711,
246,191193818,Do it! 오토캐드 2027 + AI,박한울 저,이지스퍼블리싱,2026년 06월,"27,900","31,000",10.0,10.0,10,852,https://www.yes24.com/product/goods/191193818,
247,189335830,게임으로 철학하기,주자안 저/정세경 역,현암사,2026년 05월,"20,700","23,000",10.0,10.0,8,534,https://www.yes24.com/product/goods/189335830,
248,160153189,일 잘하는 직장인,"일머리스쿨 (송경이, 유진희) 저",이지스퍼블리싱,2025년 11월,"16,200","18,000",10.0,9.9,19,"1,308",https://www.yes24.com/product/goods/160153189,
249,147735087,생성형 AI를 위한 프롬프트 엔지니어링,"제임스 피닉스, 마이크 테일러 저/정의형, 정한결 역",한빛미디어,2025년 06월,"34,200","38,000",10.0,10.0,9,"5,712",https://www.yes24.com/product/goods/147735087,
250,193448340,AI와 라이프 아크,노유진 저,커뮤니케이션북스,2026년 07월,"12,000","12,000",,,0,330,https://www.yes24.com/product/goods/193448340,
251,193350963,"그로스 IQ, 비즈니스 성장 바이블",티파니 보바 저/고현석 역,골든래빗,2026년 07월,"25,200","28,000",10.0,10.0,1,180,https://www.yes24.com/product/goods/193350963,
252,193183459,생성형 AI로 완성하는 회계 · 세무실무,박현준 저,도서출판배움,2026년 04월,"10,800","12,000",10.0,,0,120,https://www.yes24.com/product/goods/193183459,
253,192731324,AWS 교과서,"서종호, 김원일, 김석필 저",길벗,2026년 07월,"34,200","38,000",10.0,10.0,2,516,https://www.yes24.com/product/goods/192731324,
254,192687429,내 AI 천재로 키우는 법 1,이태종 저,이태종NIE논술연구소,2026년 07월,"22,500","25,000",10.0,10.0,3,750,https://www.yes24.com/product/goods/192687429,
255,192579676,AI를 활용한 실내디자인 프레젠테이션 스킬,박남용 저,피앤피북,2026년 07월,"20,700","23,000",10.0,,0,630,https://www.yes24.com/product/goods/192579676,
256,192302542,회사에서 바로 통하는 오토캐드 AutoCAD 2027,심미현 저,한빛미디어,2026년 06월,"26,100","29,000",10.0,10.0,2,390,https://www.yes24.com/product/goods/192302542,
257,192139754,프롬프트 해부학,박민지 저,루비페이퍼,2026년 06월,"25,200","28,000",10.0,10.0,4,999,https://www.yes24.com/product/goods/192139754,
258,191852111,준비 끝 다음 수업 AI 에듀테크,노희경 저,비제이퍼블릭(BJ퍼블릭),2026년 06월,"24,750","27,500",10.0,10.0,3,999,https://www.yes24.com/product/goods/191852111,
259,190213684,이것이 멀티 에이전트다,서지영 저,한빛미디어,2026년 06월,"31,500","35,000",10.0,9.4,10,678,https://www.yes24.com/product/goods/190213684,
260,189823964,유튜브 AI 비서 고용하기 제미나이 X 노트북LM X 구글 스프레드시트,조현정 저,골든래빗,2026년 06월,"21,600","24,000",10.0,10.0,1,"1,584",https://www.yes24.com/product/goods/189823964,
261,189759363,트랜스포머 아키텍처로 배우는 AI 에이전트 with 랭체인 & 랭그래프,장철원 저,한빛미디어,2026년 05월,"35,100","39,000",10.0,9.3,3,654,https://www.yes24.com/product/goods/189759363,
262,189353153,코딩 자율학습 FastAPI 파이썬 백엔드 개발 입문,신동현 저,길벗,2026년 05월,"25,200","28,000",10.0,,0,774,https://www.yes24.com/product/goods/189353153,
263,189287920,프로덕트 디자이너로 살아남기,강영화 저,이오스튜디오,2026년 05월,"17,100","19,000",10.0,10.0,2,"1,638",https://www.yes24.com/product/goods/189287920,
264,188600611,이게 되네? 나노바나나 2 AI 비포&애프터 미친 활용법 82제,쌩초 저,골든래빗,2026년 05월,"21,600","24,000",10.0,10.0,97,"2,238",https://www.yes24.com/product/goods/188600611,
265,188189600,중국 휴머노이드 로봇,김종문 저,다빈치books,2026년 05월,"19,800","22,000",10.0,10.0,7,870,https://www.yes24.com/product/goods/188189600,
266,188188392,기계가 언어를 사용한다는 것에 대한 인문학적 사유,"마크 코켈버그, 데이비드 J.건컬 저/신동숙 역/손화철 감수",생각이음,2026년 04월,"17,100","19,000",10.0,10.0,2,"2,925",https://www.yes24.com/product/goods/188188392,
267,187572169,LangChain과 LangGraph로 만드는 LLM 애플리케이션 2/e,"벤 아우파스, 레오니드 쿨리긴 저/옥경석, 박규성 역",에이콘출판사,2026년 04월,"36,000","40,000",10.0,10.0,5,810,https://www.yes24.com/product/goods/187572169,
268,186524949,된다! AI 디자인 2026,김희재 저,이지스퍼블리싱,2026년 04월,"26,820","29,800",10.0,10.0,11,"1,653",https://www.yes24.com/product/goods/186524949,
269,184675866,딸깍! 바이브 코딩 by 안티그래비티,반병현 저,생능북스,2026년 04월,"22,500","25,000",10.0,9.8,30,"3,378",https://www.yes24.com/product/goods/184675866,
270,184478218,AI로 만드는 노래와 뮤직비디오,전진규 저,시대인,2026년 04월,"12,600","14,000",10.0,9.8,13,414,https://www.yes24.com/product/goods/184478218,
271,183708092,돈이 들어오는 무재고 위탁판매 쇼핑몰,전진수 저,혜지원,2026년 03월,"15,300","17,000",10.0,10.0,6,"1,398",https://www.yes24.com/product/goods/183708092,
272,183572891,AI 시대 엄마가 먼저 알아야 할 최상위 공부법,"오주연, 김지예, 김현아 저",한빛비즈,2026년 03월,"19,800","22,000",10.0,10.0,16,"1,236",https://www.yes24.com/product/goods/183572891,
273,182995232,AI 자율학습 제미나이로 일 잘하는 법,성구(강성규) 저,길벗,2026년 04월,"23,400","26,000",10.0,9.8,44,"3,048",https://www.yes24.com/product/goods/182995232,
274,182629754,일머리를 설계하는 AI 워크플로 with n8n,이왕석 저,한빛미디어,2026년 03월,"25,200","28,000",10.0,10.0,111,"1,644",https://www.yes24.com/product/goods/182629754,
275,181117854,된다! AI 상위 노출,이중대 저,이지스퍼블리싱,2026년 03월,"17,100","19,000",10.0,10.0,28,"4,311",https://www.yes24.com/product/goods/181117854,
276,180954314,변화를 기회로 만드는 AI력,정규진 저,민음인,2026년 03월,"20,700","23,000",10.0,10.0,15,"1,764",https://www.yes24.com/product/goods/180954314,
277,177894447,누구나 아는 나만 모르는 챗GPT(개정판) : 세상에서 가장 쉬운 챗GPT & AI 입문서,이성원 저,한빛미디어,2026년 02월,"17,100","19,000",10.0,9.6,33,"4,386",https://www.yes24.com/product/goods/177894447,
278,177866994,에지 컴퓨팅과 피지컬 AI를 위한 라즈베리파이 5,허경용 저,제이펍,2026년 02월,"27,000","30,000",10.0,,0,864,https://www.yes24.com/product/goods/177866994,
279,177187498,AI 게임 개발 with 코덱스,정윤지(유리링) 저,한빛미디어,2026년 02월,"28,800","32,000",10.0,9.4,25,"2,580",https://www.yes24.com/product/goods/177187498,
280,177123635,대체불가능,파스칼 보넷 저/김정민 역,제이펍,2026년 02월,"19,800","22,000",10.0,10.0,11,"1,065",https://www.yes24.com/product/goods/177123635,
281,176913080,한 권으로 끝내는 실전 LLM 파인튜닝,강다솔 저,위키북스,2026년 02월,"28,800","32,000",10.0,10.0,1,"1,314",https://www.yes24.com/product/goods/176913080,
282,172517063,누구나 아는 나만 모르는 제미나이,이성원 저,한빛미디어,2026년 01월,"17,100","19,000",10.0,9.4,44,"13,692",https://www.yes24.com/product/goods/172517063,
283,169704757,직장인을 위한 AI 실무 엑셀,선양미 저,길벗,2025년 12월,"22,500","25,000",10.0,10.0,43,"3,696",https://www.yes24.com/product/goods/169704757,
284,168727208,올라마와 오픈소스 LLM을 활용한 AI 에이전트 개발 입문,"서영배, 김병규, 임재봉 저",위키북스,2026년 01월,"25,200","28,000",10.0,3.0,2,"2,166",https://www.yes24.com/product/goods/168727208,
285,167476779,대한민국 교육 르네상스 : 대전환시대 교육의 본질을 탐하다,"지미정, 김진관, 윤신영, 박미지, 윤여옥 저 외 10명 정보 더 보기/감추기 지미정 김진관 윤신영 박미지 윤여옥 김희수 박선정 강원빈 이대형 서지나 서동욱 하나 남궁정 임보라 김하연",앤써북,2026년 01월,"18,000","20,000",10.0,9.9,25,"2,688",https://www.yes24.com/product/goods/167476779,
286,167465671,AI 버블이 온다,"아르빈드 나라야난, 사야시 카푸르 저/강미경 역",윌북(willbook),2025년 12월,"22,320","24,800",10.0,9.8,49,"9,336",https://www.yes24.com/product/goods/167465671,
287,167463337,그로스 해킹 (10주년 기념 증보판),라이언 홀리데이 저/고영혁 역,길벗,2025년 11월,"19,800","22,000",10.0,9.7,20,"3,291",https://www.yes24.com/product/goods/167463337,
288,162322988,챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함,이호정 저,리코멘드,2025년 11월,"25,200","28,000",10.0,9.6,5,"8,292",https://www.yes24.com/product/goods/162322988,
289,153290513,이공계생을 위한 파이썬 필수예제 2,윤성호 저,지오북스,2025년 10월,"25,000","25,000",,,0,"1,200",https://www.yes24.com/product/goods/153290513,
290,153029475,요즘 바이브 코딩 커서 AI 30가지 프로그램 만들기,박현규 저,골든래빗,2025년 09월,"21,600","24,000",10.0,9.9,85,"14,964",https://www.yes24.com/product/goods/153029475,
291,149414736,AI 에이전트 생태계,조쉬 저,로드북,2025년 08월,"24,300","27,000",10.0,9.7,15,"17,544",https://www.yes24.com/product/goods/149414736,
292,149370133,회사에서 바로 통하는 실무 엑셀 데이터 활용+분석,"김경자, 송선영 저",한빛미디어,2025년 07월,"23,400","26,000",10.0,9.9,27,"1,956",https://www.yes24.com/product/goods/149370133,
293,149190058,디자인 트렌드 아카이브 포토샵 & 일러스트레이터,김혜주 저,제이펍,2025년 07월,"21,600","24,000",10.0,9.9,14,"3,216",https://www.yes24.com/product/goods/149190058,
294,148124010,시작하세요! 도커/쿠버네티스,용찬호 저,위키북스,2025년 07월,"32,400","36,000",10.0,10.0,3,"1,890",https://www.yes24.com/product/goods/148124010,
295,146874665,테디노트의 랭체인을 활용한 RAG 비법노트 : 기본편,이경록 저,리코멘드,2025년 05월,"30,600","34,000",10.0,10.0,1,"4,236",https://www.yes24.com/product/goods/146874665,
296,145572152,디자인 감각 제대로 키우는 법,가마타 다카시 저/김현미 역,시프트,2025년 05월,"17,100","19,000",10.0,9.6,10,"2,340",https://www.yes24.com/product/goods/145572152,
297,144253147,된다! 업무에 바로 쓰는 구글 활용법,이광희 저,이지스퍼블리싱,2025년 04월,"18,900","21,000",10.0,10.0,18,"4,104",https://www.yes24.com/product/goods/144253147,
298,142763143,레트로의 유니티 6 게임 프로그래밍 에센스,이제민 저,한빛미디어,2025년 02월,"59,400","66,000",10.0,9.8,72,"4,098",https://www.yes24.com/product/goods/142763143,
299,141787639,밑바닥부터 시작하는 딥러닝 1,사이토 고키 저/개앞맵시 역,한빛미디어,2025년 01월,"23,400","26,000",10.0,9.3,138,"9,006",https://www.yes24.com/product/goods/141787639,
300,140242586,선생님을 위한 노션,임세범 저,앤써북,2025년 01월,"19,620","21,800",10.0,9.9,18,"10,980",https://www.yes24.com/product/goods/140242586,
301,139798543,누구나 아는 나만 모르는 엑셀,이성원 저,한빛미디어,2024년 11월,"15,300","17,000",10.0,9.7,37,"6,270",https://www.yes24.com/product/goods/139798543,
302,139734696,혁펜하임의 Easy! 딥러닝,혁펜하임 저,북엔드,2024년 11월,"31,500","35,000",10.0,9.9,36,"3,240",https://www.yes24.com/product/goods/139734696,
303,133873594,아무도 알려 주지 않는 PM 필수 지식,최선신 저,영진닷컴,2024년 10월,"19,800","22,000",10.0,10.0,21,"1,230",https://www.yes24.com/product/goods/133873594,
304,133290567,그림과 실습으로 배우는 깃 & 깃허브 입문,한재원 저,위키북스,2024년 09월,"24,300","27,000",10.0,10.0,5,792,https://www.yes24.com/product/goods/133290567,
305,129445293,코파일럿+엑셀 업무자동화 정석,권현욱 저,디지털북스,2024년 08월,"19,800","22,000",10.0,9.0,4,750,https://www.yes24.com/product/goods/129445293,
306,128193122,무작정 따라하기 엑셀 파워포인트 워드+한글,"박미정, 박은진 저",길벗,2024년 07월,"22,500","25,000",10.0,9.1,7,"1,368",https://www.yes24.com/product/goods/128193122,
307,128122789,초등부터 중등까지 한 권으로 끝내는 엔트리와 40개의 작품들,"전진아, 김수연 저",앤써북,2024년 06월,"15,930","17,700",10.0,9.8,13,"1,962",https://www.yes24.com/product/goods/128122789,
308,126804246,개발자를 위한 필수 수학,토머스 닐드 저/박해선 역,한빛미디어,2024년 06월,"27,000","30,000",10.0,9.7,37,"3,552",https://www.yes24.com/product/goods/126804246,
309,126691841,게임 시나리오 기획자를 위한 안내서,양정윤 저,에이콘출판사,2024년 05월,"23,400","26,000",10.0,10.0,9,"1,182",https://www.yes24.com/product/goods/126691841,
310,126527639,다시 꺼내는 아이패드 Re:드로잉 with 프로크리에이트,금손햄찌 저,앤제이BOOKS,2024년 06월,"20,700","23,000",10.0,10.0,10,726,https://www.yes24.com/product/goods/126527639,
311,126332003,권학봉의 포토샵&라이트룸 클래식 사진보정 강의,권학봉 저,황금부엉이,2024년 05월,"44,550","49,500",10.0,10.0,8,"2,202",https://www.yes24.com/product/goods/126332003,
312,126181068,그림으로 이해하는 알고리즘,"이시다 모리테루, 미야자키 슈이치 저/이동규 역",길벗,2024년 04월,"19,800","22,000",10.0,10.0,13,"1,536",https://www.yes24.com/product/goods/126181068,
313,125101568,"디자인, 이것만 알면 쉬워져요 with 63가지 LESSON","요네쿠라 아키오, 이쿠타 신이치, 아오야나기 치사토 저/최재원 역",책만,2024년 02월,"18,000","20,000",10.0,9.8,19,"1,431",https://www.yes24.com/product/goods/125101568,
314,121948165,파이썬 생활 프로젝트 코딩,서승희 저,길벗,2023년 08월,"16,200","18,000",10.0,9.9,29,510,https://www.yes24.com/product/goods/121948165,
315,119712582,견고한 데이터 엔지니어링,"조 라이스, 맷 하우슬리 저/김인범 역",한빛미디어,2023년 06월,"34,200","38,000",10.0,9.2,39,"1,752",https://www.yes24.com/product/goods/119712582,
316,119267145,린 스타트업 (10주년 기념판),애시 모리아 저/권혜정 역,한빛미디어,2023년 06월,"21,600","24,000",10.0,9.8,34,"3,222",https://www.yes24.com/product/goods/119267145,
317,116924336,파이썬 코딩 도장,남재윤 저,길벗,2023년 01월,"27,000","30,000",10.0,9.8,35,"2,196",https://www.yes24.com/product/goods/116924336,
318,116777159,C언어 Express,천인국 저,생능출판사,2023년 01월,"32,000","32,000",,9.5,12,"7,740",https://www.yes24.com/product/goods/116777159,
319,116208355,마인크래프트 서바이벌 핸드북,Mojang Studio 저/이주안 역,영진닷컴,2022년 12월,"10,800","12,000",10.0,9.6,9,"1,002",https://www.yes24.com/product/goods/116208355,
